moment,data,model,diff,W_diag,wdiff2
autocorr(Y_6),0.6595565270498673,0.36239227224452963,0.2971642548053377,1.0,0.08830659433401167
autocorr(Y_7),0.31064868607674534,0.22519354844634898,0.08545513763039636,1.0,0.0073025805474299845
autocorr(Y_8),0.8943442822082346,0.1952839299557344,0.6990603522525002,1.0,0.4886853760913896
autocorr(Y_9),0.5934152228969876,0.2390304218801175,0.3543848010168701,1.0,0.1255885871917666
autocorr(Y_10),0.8222255199489485,0.21962539129133413,0.6026001286576144,1.0,0.3631269150581734
autocorr(Y_11),0.5319305891775714,0.261324033354883,0.2706065558226884,1.0,0.07322790805421776
autocorr(Y_12),0.7344837364257952,0.25903614457745394,0.4754475918483413,1.0,0.22605041259438693
"rbar: avg pairwise corr(Y_i,Y_j)",0.1237900904548221,0.42547874979230155,-0.30168865933747946,3.0,0.2730481415185372
std(L) goods (wtd avg),0.019145412450846465,0.018390236933798397,0.0007551755170480678,2728.1644557538543,0.0015558450753871593
std(L) services (wtd avg),0.015411306554937346,0.017615472229060167,-0.002204165674122821,4210.377937989003,0.02045547415654899
std(C)/std(GDP),1.344918915226074,1.3848175419747233,-0.03989862674864919,0.5528506145899844,0.0008800831235882856
std(I)/std(GDP),1.986036015370156,1.8758415454083186,0.11019446996183735,0.2535279006752275,0.003078543969689095
"corr(C,GDP)",0.8256946353623745,0.9031332623161419,-0.07743862695376735,3.0,0.01799022283345423
"corr(I,GDP)",0.7629626854275847,0.5678974838265003,0.19506520160108443,3.0,0.11415129862701513
